region_nom,code_circonscription,nom_circonscription,nb_bureaux_vote,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs_nombre,bulletins_blancs_pourcentage,parti_politique,nom_liste_candidat,score_voix,pourcentage_voix,est_elu,region_nom_norm,nom_circonscription_norm,nom_liste_candidat_norm,parti_politique_norm
LA ME,144,"AFFERY, COMMUNE ET SOUS-PREFECTURE",41,16380,6980,0.4261,287,6693,20,0.003,INDEPENDANT,YAO AKA JAURES ROLAND STEPHANE,65,0.0097,False,la me,"affery, commune et sous-prefecture",yao aka jaures roland stephane,independant
LA ME,144,"AFFERY, COMMUNE ET SOUS-PREFECTURE",41,16380,6980,0.4261,287,6693,20,0.003,RHDP,ASSOI ASSI APPOLINAIRE,2855,0.4266,True,la me,"affery, commune et sous-prefecture",assoi assi appolinaire,rhdp
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,YAPO VALERIE-YOLANDE,1294,0.09910000000000001,False,la me,"akoupe et becouefin, communes et sous-prefectures",yapo valerie-yolande,independant
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,ANON AGUIE CLOTAIRE,483,0.037000000000000005,False,la me,"akoupe et becouefin, communes et sous-prefectures",anon aguie clotaire,independant
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,KOISSY SECKA RENE NOEL FABRICE,130,0.01,False,la me,"akoupe et becouefin, communes et sous-prefectures",koissy secka rene noel fabrice,independant
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,ASSEU ELOLO SIDONIE,3066,0.2347,False,la me,"akoupe et becouefin, communes et sous-prefectures",asseu elolo sidonie,independant
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,KIMOU ACHY JOEL FABRICE,207,0.0158,False,la me,"akoupe et becouefin, communes et sous-prefectures",kimou achy joel fabrice,independant
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,FPI,YAPO ATSE HERMANN NDAH,499,0.0382,False,la me,"akoupe et becouefin, communes et sous-prefectures",yapo atse hermann ndah,fpi
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,RHDP,ASSI JEAN-LUC,6859,0.525,True,la me,"akoupe et becouefin, communes et sous-prefectures",assi jean-luc,rhdp
LA ME,145,"AKOUPE ET BECOUEFIN, COMMUNES ET SOUS-PREFECTURES",109,41157,13552,0.3293,488,13064,86,0.0066,INDEPENDANT,KIMOU KOFFI FLORENT,440,0.0337,False,la me,"akoupe et becouefin, communes et sous-prefectures",kimou koffi florent,independant
